geo_type,region,transportation_type,alternative_name,sub_region,country,date,score
city,Birmingham,driving,NA,England,United Kingdom,2020-12-25,32
city,Birmingham,driving,NA,England,United Kingdom,2020-12-26,50.03
city,Birmingham,driving,NA,England,United Kingdom,2020-12-27,59.53
city,Birmingham,driving,NA,England,United Kingdom,2020-12-28,59.25
city,Birmingham,driving,NA,England,United Kingdom,2020-12-29,66.32
city,Birmingham,driving,NA,England,United Kingdom,2020-12-30,73.04
city,Birmingham,driving,NA,England,United Kingdom,2020-12-31,67.65
city,Birmingham,driving,NA,England,United Kingdom,2021-01-01,44.07
city,Birmingham,driving,NA,England,United Kingdom,2021-01-02,57.92
city,Birmingham,driving,NA,England,United Kingdom,2021-01-03,52.7
city,Birmingham,driving,NA,England,United Kingdom,2021-01-04,66.99
city,Birmingham,driving,NA,England,United Kingdom,2021-01-05,65.24
city,Birmingham,driving,NA,England,United Kingdom,2021-01-06,65.44
city,Birmingham,driving,NA,England,United Kingdom,2021-01-07,66.75
city,Birmingham,driving,NA,England,United Kingdom,2021-01-08,71.07
city,Birmingham,driving,NA,England,United Kingdom,2021-01-09,63.79
city,Birmingham,driving,NA,England,United Kingdom,2021-01-10,52.27
city,Birmingham,driving,NA,England,United Kingdom,2021-01-11,68.96
city,Birmingham,driving,NA,England,United Kingdom,2021-01-12,69.83
city,Birmingham,driving,NA,England,United Kingdom,2021-01-13,68.59
city,Birmingham,driving,NA,England,United Kingdom,2021-01-14,68.56
city,Birmingham,driving,NA,England,United Kingdom,2021-01-15,75.12
city,Birmingham,driving,NA,England,United Kingdom,2021-01-16,65.01
city,Birmingham,driving,NA,England,United Kingdom,2021-01-17,53.37
city,Birmingham,driving,NA,England,United Kingdom,2021-01-18,68.26
city,Birmingham,driving,NA,England,United Kingdom,2021-01-19,70.51
city,Birmingham,driving,NA,England,United Kingdom,2021-01-20,69.95
city,Birmingham,driving,NA,England,United Kingdom,2021-01-21,70.65
city,Birmingham,driving,NA,England,United Kingdom,2021-01-22,79.45
city,Birmingham,driving,NA,England,United Kingdom,2021-01-23,66.27
city,Birmingham,driving,NA,England,United Kingdom,2021-01-24,43.9
city,Birmingham,driving,NA,England,United Kingdom,2021-01-25,62.47
city,Birmingham,driving,NA,England,United Kingdom,2021-01-26,69.63
city,Birmingham,driving,NA,England,United Kingdom,2021-01-27,73.11
city,Birmingham,driving,NA,England,United Kingdom,2021-01-28,74.58
city,Birmingham,driving,NA,England,United Kingdom,2021-01-29,83.5
city,Birmingham,driving,NA,England,United Kingdom,2021-01-30,67.19
city,Birmingham,driving,NA,England,United Kingdom,2021-01-31,57.18
city,Birmingham,driving,NA,England,United Kingdom,2021-02-01,72.25
city,Birmingham,driving,NA,England,United Kingdom,2021-02-02,73.18
city,Birmingham,driving,NA,England,United Kingdom,2021-02-03,74.72
city,Birmingham,driving,NA,England,United Kingdom,2021-02-04,75.09
city,Birmingham,driving,NA,England,United Kingdom,2021-02-05,83.2
city,Birmingham,driving,NA,England,United Kingdom,2021-02-06,72.53
city,Birmingham,driving,NA,England,United Kingdom,2021-02-07,56.14
city,Birmingham,driving,NA,England,United Kingdom,2021-02-08,70.01
city,Birmingham,driving,NA,England,United Kingdom,2021-02-09,70.42
city,Birmingham,driving,NA,England,United Kingdom,2021-02-10,73.27
city,Birmingham,driving,NA,England,United Kingdom,2021-02-11,74.1
city,Birmingham,driving,NA,England,United Kingdom,2021-02-12,84.35
city,Birmingham,driving,NA,England,United Kingdom,2021-02-13,76.1
city,Birmingham,driving,NA,England,United Kingdom,2021-02-14,62.3
city,Birmingham,driving,NA,England,United Kingdom,2021-02-15,76.6
city,Birmingham,driving,NA,England,United Kingdom,2021-02-16,77.28
city,Birmingham,driving,NA,England,United Kingdom,2021-02-17,78.04
city,Birmingham,driving,NA,England,United Kingdom,2021-02-18,78.97
city,Birmingham,driving,NA,England,United Kingdom,2021-02-19,85.28
city,Birmingham,driving,NA,England,United Kingdom,2021-02-20,74.46
city,Birmingham,driving,NA,England,United Kingdom,2021-02-21,60.47
city,Birmingham,driving,NA,England,United Kingdom,2021-02-22,76.07
